"word","count"
"the","8158"
".","7887"
",","7270"
"of","3850"
"to","3769"
"and","2619"
"that","2465"
"in","2336"
"a","2255"
"is","1993"
"for","1476"
"it","1309"
"this","1184"
"i","1149"
"—","1109"
"have","990"
"not","981"
"be","875"
"on","863"
"government","828"
"are","791"
"they","787"
"private","755"
"we","713"
")","695"
"(","689"
"will","688"
"as","623"
"by","622"
"has","622"
":","561"
"medibank","554"
"with","544"
"was","542"
"-","537"
"an","517"
"you","473"
"from","468"
"australian","460"
"people","451"
"would","450"
"there","446"
"health","442"
"their","428"
"or","399"
"at","397"
"who","397"
"minister","374"
"australia","374"
"about","368"
"mr","362"
"what","357"
"which","357"
"been","354"
"but","344"
"he","332"
"if","311"
"do","309"
"all","281"
"were","267"
"members","264"
"those","263"
"one","262"
"had","261"
"no","260"
"member","257"
"insurance","256"
"?","256"
"so","253"
";","250"
"its","249"
"because","236"
"when","235"
"time","233"
"years","231"
"citizenship","229"
"my","221"
"out","217"
"can","209"
"bill","205"
"these","205"
"up","204"
"any","200"
"question","200"
"our","200"
"more","195"
"his","187"
"per","183"
"sale","182"
"said","179"
"am","176"
"very","176"
"them","173"
"country","172"
"some","170"
"speaker","169"
"other","167"
"cent","167"
"public","166"
"premiums","166"
"now","161"
"house","158"
"also","156"
"should","155"
"than","153"
"$","151"
"many","147"
"under","146"
"going","145"
"year","142"
"prime","140"
"say","140"
"make","138"
"interest","138"
"know","134"
"into","134"
"where","133"
"profit","132"
"j","132"
"government's","131"
"made","129"
"take","127"
"why","127"
"2006","126"
"act","126"
"think","126"
"community","125"
"see","125"
"only","123"
"over","123"
"two","122"
"opposition","121"
"put","121"
"may","120"
"being","118"
"national","118"
"could","117"
"how","117"
"just","116"
"2","115"
"get","115"
"privatisation","115"
"come","114"
"policy","112"
"new","112"
"s","112"
"fund","110"
"us","110"
"fact","110"
"through","108"
"labor","108"
"then","107"
"industry","107"
"way","107"
"does","104"
"australians","103"
"want","102"
"increase","101"
"like","100"
"state","100"
"part","99"
"parliamentary","99"
"after","98"
"three","98"
"leader","98"
"million","97"
"today","97"
"did","97"
"debate","96"
"1","95"
"last","95"
"m","95"
"place","94"
"howard","94"
"well","93"
"services","93"
"pm","93"
"me","92"
"advice","92"
"!","92"
"right","89"
"need","89"
"off","89"
"k.j","88"
"*","88"
"before","87"
"go","87"
"electorate","86"
"number","85"
"work","84"
"commonwealth","84"
"down","84"
"pay","82"
"here","82"
"such","81"
"d","80"
"citizen","80"
"legislation","79"
"deputy","79"
"most","78"
"become","77"
"3","76"
"sell","76"
"important","76"
"order","76"
"system","75"
"next","75"
"four","74"
"market","74"
"great","73"
"election","73"
"good","72"
"again","71"
"ferguson","71"
"given","70"
"against","69"
"whether","69"
"saying","69"
"day","69"
"c","69"
"says","68"
"cannot","68"
"matter","68"
"first","67"
"money","67"
"care","67"
"person","67"
"let","67"
"your","67"
"able","66"
"p","66"
"l","66"
"p.j","66"
"j.e","66"
"k","66"
"m.j","66"
"argument","65"
"back","65"
"2005","64"
"every","64"
"area","63"
"price","63"
"period","63"
"rate","62"
"since","62"
"aboriginal","61"
"reason","61"
"queensland","61"
"asked","61"
"parliament","60"
"cost","60"
"indeed","60"
"issue","60"
"office","59"
"case","59"
"cover","59"
"o'connor","59"
"another","58"
"party","58"
"things","58"
"families","58"
"rates","58"
"smith","58"
"opportunity","57"
"better","57"
"support","56"
"library","56"
"particularly","56"
"even","56"
"4","56"
"service","55"
"own","55"
"particular","55"
"12","55"
"course","55"
"lindsay","55"
"real","55"
"security","55"
"lot","54"
"change","54"
"believe","54"
"much","54"
"citizens","54"
"regional","54"
"provide","53"
"must","53"
"children","53"
"committee","53"
"certainly","53"
"same","53"
"federal","53"
"life","53"
"burke","53"
"relations","53"
"second","52"
"costs","52"
"decision","52"
"provided","52"
"position","52"
"world","52"
"10","51"
"legal","51"
"commission","51"
"look","51"
"thing","51"
"pressure","51"
"bishop","50"
"communities","50"
"having","50"
"yet","50"
"upon","50"
"local","49"
"section","49"
"rise","49"
"company","49"
"september","49"
"understand","49"
"australia's","48"
"result","48"
"b","48"
"jobs","48"
"industrial","48"
"30","47"
"land","47"
"give","47"
"increases","47"
"words","47"
"ellis","47"
"r","47"
"city","47"
"proposed","46"
"agreed","46"
"might","46"
"means","46"
"future","46"
"beazley","46"
"telstra","46"
"kelly","46"
