"word","count"
"the","6639"
".","4434"
",","3923"
"to","3133"
"of","3042"
"and","2559"
"that","2089"
"in","1980"
"a","1827"
"is","1635"
")","1058"
"(","1053"
"it","977"
"i","940"
"for","913"
"on","871"
"have","795"
"this","788"
"—","741"
"not","721"
"are","696"
"we","678"
"be","641"
"with","634"
"-","593"
":","572"
"as","570"
"has","543"
"government","541"
"will","514"
"they","500"
"was","483"
"by","479"
"senator","460"
"at","380"
"or","351"
"what","345"
"which","332"
"there","330"
"from","325"
"been","325"
"an","318"
";","317"
"but","306"
"their","292"
"minister","287"
"australian","283"
"people","274"
"about","244"
"do","244"
"were","242"
"all","242"
"these","233"
"interest","231"
"would","225"
"bill","220"
"who","219"
"if","219"
"/","214"
"committee","212"
"time","210"
"you","205"
"under","202"
"australia","199"
"when","198"
"some","197"
"senate","196"
"other","188"
"into","186"
"very","185"
"no","185"
"per","181"
"2006","179"
"labor","178"
"one","177"
"so","174"
"any","172"
"more","171"
"those","169"
"can","166"
"report","166"
"cent","164"
"up","159"
"rates","155"
"its","154"
"law","151"
"because","148"
"had","146"
"vessel","145"
"also","142"
"he","141"
"support","141"
"out","140"
"said","140"
"now","138"
"?","137"
"years","137"
"$","133"
"think","133"
"legislation","133"
"indigenous","131"
"than","129"
"should","128"
"take","126"
"question","126"
"cultural","126"
"only","125"
"our","124"
"new","121"
"made","120"
"say","120"
"1","120"
"service","119"
"being","117"
"my","117"
"does","115"
"mr","107"
"how","107"
"inquiry","107"
"just","104"
"community","104"
"x","104"
"rate","103"
"way","103"
"b","103"
"families","102"
"last","100"
"them","100"
"am","100"
"act","100"
"us","100"
"know","99"
"party","98"
"many","98"
"get","97"
"children","97"
"today","96"
"over","96"
"national","95"
"2","94"
"child","94"
"background","94"
"casa","92"
"where","91"
"issues","91"
"pm","90"
"work","90"
"customs","90"
"year","89"
"before","89"
"issue","89"
"two","86"
"30","86"
"senators","85"
"inflation","85"
"his","85"
"need","85"
"make","85"
"put","84"
"may","84"
"point","81"
"amendment","81"
"could","79"
"well","78"
"then","78"
"safety","78"
"c","78"
"public","76"
"why","76"
"case","76"
"economic","76"
"me","76"
"number","76"
"aboriginal","75"
"such","75"
"3","74"
"state","74"
"fact","73"
"matter","73"
"record","72"
"management","72"
"see","72"
"violence","72"
"important","71"
"did","71"
"services","71"
"first","70"
"most","70"
"business","70"
"given","68"
"through","68"
"going","67"
"since","67"
"call","67"
"want","66"
"again","66"
"like","66"
"relation","66"
"*","66"
"prime","65"
"10","65"
"government's","65"
"including","65"
"go","65"
"part","65"
"western","65"
"4","65"
"house","64"
"income","64"
"australians","64"
"against","64"
"provided","64"
"section","64"
"affairs","64"
"7","64"
"general","63"
"process","63"
"debate","63"
"mortgage","62"
"after","62"
"place","62"
"office","61"
"amendments","61"
"2005","61"
"costs","61"
"economy","60"
"even","60"
"security","59"
"system","59"
"howard","58"
"family","58"
"federal","58"
"believe","58"
"country","57"
"police","57"
"communities","57"
"much","56"
"area","56"
"debt","56"
"n","56"
"every","55"
"deal","55"
"look","55"
"long","55"
"required","55"
"course","54"
"policy","54"
"""","54"
"00","54"
"increase","53"
"sentencing","53"
"members","53"
"change","53"
"small","53"
"board","53"
"taken","52"
"level","52"
"used","52"
"done","52"
"answer","52"
"aviation","52"
"liberal","51"
"responsibility","51"
"opportunity","51"
"sydney","51"
"bank","50"
"following","50"
"changes","50"
"ensure","50"
"department","49"
"impact","49"
"customary","49"
"16","49"
"north","49"
"customer","49"
"evidence","48"
"court","48"
"17","48"
"matters","48"
"information","48"
"cost","47"
"care","47"
"still","47"
"down","47"
"both","47"
"provide","47"
"northern","47"
"same","47"
"between","47"
"australia's","47"
"24","47"
"continue","46"
"president","46"
"account","46"
"right","46"
"abuse","46"
"might","46"
"crew","46"
"own","45"
"quite","45"
"recommendations","45"
"use","45"
"5","45"
"without","44"
"chamber","44"
"come","44"
"current","44"
"here","44"
"things","44"
"administration","43"
"minchin","43"
"control","43"
"having","43"
"rise","43"
"good","43"
"particularly","43"
"f","43"
"notice","42"
"low","42"
"three","42"
"future","42"
"territory","42"
"effect","42"
"land","42"
"queensland","42"
"08","42"
"move","41"
"let","41"
"able","41"
"12","41"
"home","41"
"circumstances","41"
"parliament","41"
"whether","41"
"legal","41"
"non","41"
"based","41"
"carer","41"
"another","41"
"d","41"
"note","40"
"example","40"
"understand","40"
"second","40"
"raised","40"
"justice","40"
"[","40"
"]","40"
"vessels","40"
"access","40"
"reserve","39"
"further","39"
"upon","39"
"areas","39"
"actually","39"
"serious","39"
"different","39"
"brisbane","39"
"m","39"
"commonwealth","39"
"around","38"
"consideration","38"
"high","38"
"give","38"
"tax","38"
"program","38"
"particular","38"
"view","38"
"environment","38"
"ellison","38"
"billion","38"
"election","37"
"governments","37"
"criminal","37"
"standing","37"
"world","37"
"crimes","37"
"proposed","37"
"relevant","37"
"parents","37"
"something","37"
"asked","36"
"prices","36"
"your","36"
"commission","36"
"real","36"
"position","36"
"11","36"
"provisions","36"
"higher","36"
"during","36"
"south","36"
"appropriate","36"
"payment","36"
"merchant","36"
"november","36"
"march","36"
"abc","36"
"forward","36"
"opposition","35"
"response","35"
"13","35"
"doing","35"
"back","35"
"role","35"
"practice","35"
"while","35"
"lines","35"
"aware","34"
"group","34"
"off","34"
"reference","34"
"estimates","34"
"decision","34"
"review","34"
"motion","34"
"officers","34"
"date","34"
"authority","34"
"formula","34"
"line","34"
"6","34"
"keep","33"
"person","33"
"agreed","33"
"problem","33"
"cannot","33"
"international","33"
"war","33"
"local","33"
"staff","33"
"calls","33"
"finance","32"
"concerns","32"
"states","32"
"2004","32"
"day","32"
"leave","32"
"behaviour","32"
"previous","32"
"ships","32"
"perhaps","32"
"education","32"
"lebanon","32"
"each","32"
"political","32"
"checks","32"
"average","31"
"pressure","31"
"financial","31"
"great","31"
"must","31"
"never","31"
"ludwig","31"
"reform","31"
"14","31"
"consultation","31"
"period","31"
"needs","31"
"too","31"
"regional","31"
"site","31"
"women","31"
"order","30"
"ago","30"
"considered","30"
"statement","30"
"term","30"
"ever","30"
"least","30"
"defence","30"
"full","30"
"received","30"
"came","30"
"training","30"
"recent","30"
"medical","30"
"foreign","30"
"certainly","30"
"few","30"
"1800","30"
"health","29"
"action","29"
"words","29"
"really","29"
"recommendation","29"
"next","29"
"enforcement","29"
"better","29"
"o'brien","29"
"significant","29"
"bartlett","29"
"questions","28"
"pay","28"
"month","28"
"result","28"
"regard","28"
"says","28"
"him","28"
"august","28"
"approach","28"
"council","28"
"often","28"
"hours","28"
"air","28"
"18","28"
"8","28"
"concern","28"
"message","28"
"persons","28"
"saying","27"
"hobart","27"
"side","27"
"conditions","27"
"whole","27"
"try","27"
"problems","27"
"already","27"
"meeting","27"
"consider","27"
"reports","27"
"read","27"
"range","27"
"far","27"
"reasons","27"
"arrangements","27"
"claim","26"
"failed","26"
"strong","26"
"nothing","26"
"million","26"
"research","26"
"known","26"
"completely","26"
"measures","26"
"possible","26"
"form","26"
"reason","26"
"address","26"
"dealing","26"
"laws","26"
"employment","26"
"human","26"
"15","26"
"…","26"
"within","26"
"operations","26"
"failure","25"
"45","25"
"complaints","25"
"centre","25"
"social","25"
"taking","25"
"payments","25"
"seen","25"
"properly","25"
"representing","25"
"above","25"
"thing","25"
"making","25"
"less","25"
"respect","25"
"available","25"
"26","25"
"industry","25"
"yet","25"
"days","25"
"productivity","25"
"housing","25"
"airport","25"
"development","25"
